学员 ID,学员姓名,课程类别,课程名称,报名节数/期数,单价（元/节/期）,缴费总额（元）,缴费日期,学员所在城市,缴费方式,课程状态
STU10000,庞荣,集训课程,暑期集训营,1,3018,3018,2025-10-28,广州,微信支付,已结课
STU10001,王冬梅,考级课程,等级考试预备班,47,188,8836,2025-10-26,深圳,分期,已结课
STU10002,李兰英,考级课程,一级考级冲刺班,44,187,8228,2026-01-29,杭州,微信支付,已结课
STU10003,郑海燕,成人游泳,成人减脂游泳班,31,151,4681,2025-11-26,上海,微信支付,已开课
STU10004,韩婷,私教课程,一对三私教课,48,147,7056,2025-12-27,西安,微信支付,已退费
STU10005,王淑英,亲子游泳,亲子启蒙班,45,155,6975,2026-02-06,南京,分期,已开课
STU10006,张玉梅,少儿游泳,少儿蛙泳基础班,24,154,3696,2025-10-30,上海,现金,已开课
STU10007,孙明,集训课程,国庆集训班,1,2258,2258,2026-02-19,杭州,微信支付,已结课
STU10008,段秀珍,成人游泳,成人自由泳速成班,20,198,3960,2026-02-11,西安,支付宝,已结课
STU10009,孙俊,少儿游泳,少儿自由泳提高班,12,160,1920,2025-09-17,深圳,分期,已结课
STU10010,李佳,私教课程,一对二私教课,41,181,7421,2026-02-12,武汉,支付宝,已开课
STU10011,高佳,成人游泳,成人水中健身课,47,189,8883,2025-12-12,南京,支付宝,已退费
STU10012,刘瑞,成人游泳,成人减脂游泳班,15,92,1380,2025-10-10,广州,现金,已结课
STU10013,王桂芝,亲子游泳,亲子水上游戏课,48,199,9552,2026-01-20,北京,微信支付,已结课
STU10014,康强,考级课程,二级考级专项班,31,108,3348,2025-10-11,武汉,微信支付,已退费
STU10015,王成,集训课程,国庆集训班,3,3060,9180,2025-09-28,杭州,分期,已结课
STU10016,张洁,成人游泳,成人水中健身课,20,218,4360,2026-01-14,北京,分期,已开课
STU10017,康杰,少儿游泳,少儿蛙泳基础班,33,158,5214,2025-11-01,重庆,微信支付,已报名
STU10018,张红梅,亲子游泳,亲子启蒙班,44,112,4928,2025-12-31,西安,支付宝,已开课
STU10019,吴娜,考级课程,三级考级集训班,23,218,5014,2026-02-24,深圳,银行卡,已开课
STU10020,刘萍,集训课程,国庆集训班,2,3342,6684,2025-10-01,深圳,支付宝,已报名
STU10021,刘雪梅,少儿游泳,少儿自由泳提高班,47,136,6392,2026-02-09,北京,支付宝,已报名
STU10022,陈晨,少儿游泳,少儿仰泳专项班,14,211,2954,2026-02-19,武汉,支付宝,已结课
STU10023,金秀荣,集训课程,考前集中训练营,1,3106,3106,2025-12-14,深圳,微信支付,已报名
STU10024,陈明,亲子游泳,亲子技能提升班,37,185,6845,2025-09-14,上海,微信支付,已结课
STU10025,王敏,私教课程,一对一私教课,25,129,3225,2025-12-24,广州,现金,已开课
STU10026,宋刚,亲子游泳,亲子互动班,14,193,2702,2026-01-19,上海,微信支付,已结课
STU10027,贾洁,考级课程,等级考试预备班,15,140,2100,2026-01-03,武汉,支付宝,已结课
STU10028,张想,少儿游泳,少儿自由泳提高班,34,80,2720,2025-11-07,武汉,银行卡,已结课
STU10029,毛晶,集训课程,考前集中训练营,1,1888,1888,2025-09-15,重庆,分期,已报名
STU10030,袁飞,私教课程,一对一私教课,13,229,2977,2026-01-14,广州,微信支付,已退费
STU10031,高军,少儿游泳,少儿自由泳提高班,14,232,3248,2025-12-13,上海,分期,已开课
STU10032,阎洋,考级课程,等级考试预备班,49,100,4900,2026-01-28,重庆,分期,已开课
STU10033,伍建华,私教课程,一对二私教课,30,141,4230,2025-10-04,杭州,现金,已开课
STU10034,李杨,少儿游泳,少儿蛙泳基础班,39,239,9321,2025-09-26,上海,分期,已开课
STU10035,杜慧,私教课程,一对二私教课,32,97,3104,2025-12-04,杭州,支付宝,已结课
STU10036,张琴,考级课程,二级考级专项班,49,247,12103,2026-02-18,西安,银行卡,已退费
STU10037,廖帆,少儿游泳,少儿自由泳提高班,26,109,2834,2026-01-20,广州,银行卡,已开课
STU10038,牟秀梅,成人游泳,成人水中健身课,23,242,5566,2026-01-08,武汉,银行卡,已退费
STU10039,张淑珍,少儿游泳,少儿蛙泳基础班,50,188,9400,2025-09-12,北京,银行卡,已结课
STU10040,罗峰,集训课程,国庆集训班,1,3018,3018,2026-02-28,成都,分期,已报名
STU10041,吴凯,少儿游泳,少儿自由泳提高班,44,89,3916,2026-01-28,西安,支付宝,已结课
STU10042,李斌,少儿游泳,少儿仰泳专项班,33,90,2970,2025-10-24,深圳,微信支付,已开课
STU10043,杨桂花,考级课程,三级考级集训班,49,119,5831,2025-10-31,广州,支付宝,已结课
STU10044,孙凯,少儿游泳,少儿自由泳提高班,31,185,5735,2025-11-03,杭州,支付宝,已结课
STU10045,杨梅,少儿游泳,少儿蝶泳精英班,12,200,2400,2025-12-27,南京,银行卡,已结课
STU10046,王建军,成人游泳,成人自由泳速成班,11,248,2728,2025-11-24,杭州,微信支付,已退费
STU10047,骆娜,私教课程,一对三私教课,42,182,7644,2026-01-16,南京,微信支付,已报名
STU10048,丁杰,私教课程,一对二私教课,47,147,6909,2025-12-21,南京,银行卡,已结课
STU10049,黄成,考级课程,等级考试预备班,34,227,7718,2025-09-12,成都,微信支付,已结课
STU10050,谌桂花,考级课程,一级考级冲刺班,33,190,6270,2025-11-24,重庆,银行卡,已结课
STU10051,王建国,少儿游泳,少儿仰泳专项班,42,159,6678,2025-11-23,成都,银行卡,已结课
STU10052,关勇,成人游泳,成人减脂游泳班,34,124,4216,2025-11-17,成都,分期,已结课
STU10053,曹桂花,私教课程,一对三私教课,23,190,4370,2026-02-03,南京,现金,已结课
STU10054,裴帆,集训课程,寒假集训营,3,2469,7407,2025-10-14,上海,银行卡,已结课
STU10055,龚楠,集训课程,国庆集训班,1,3176,3176,2025-10-31,杭州,支付宝,已结课
STU10056,韩桂珍,成人游泳,成人蛙泳入门班,12,142,1704,2026-02-04,上海,现金,已结课
STU10057,熊亮,集训课程,寒假集训营,3,2926,8778,2025-12-12,深圳,支付宝,已结课
STU10058,左春梅,少儿游泳,少儿蛙泳基础班,37,136,5032,2026-02-26,西安,现金,已报名
STU10059,梁慧,成人游泳,成人蛙泳入门班,39,114,4446,2026-02-18,西安,分期,已结课
STU10060,张飞,亲子游泳,亲子水上游戏课,45,194,8730,2025-12-31,武汉,银行卡,已结课
STU10061,李涛,集训课程,国庆集训班,3,2492,7476,2025-11-10,武汉,微信支付,已结课
STU10062,张海燕,成人游泳,成人水中健身课,31,161,4991,2025-09-21,广州,支付宝,已开课
STU10063,郑杨,集训课程,寒假集训营,3,1938,5814,2025-11-24,西安,现金,已结课
STU10064,吴瑞,成人游泳,成人减脂游泳班,34,229,7786,2025-09-06,重庆,现金,已结课
STU10065,张丽丽,私教课程,一对三私教课,34,187,6358,2026-01-18,重庆,支付宝,已结课
STU10066,贺玉,私教课程,私教包月套餐,41,87,3567,2026-02-19,成都,支付宝,已结课
